Município de notificação;Ign/Branco;Analfabeto;1ª a 4ª série incompleta do EF;4ª série completa do EF;5ª a 8ª série incompleta do EF;Ensino fundamental completo;Ensino médio incompleto;Ensino médio completo;Educação superior incompleta;Educação superior completa;Não se aplica;Total
352170 ITABERA;1;-;-;1;-;2;2;1;2;1;2;12
352180 ITAI;-;-;-;-;-;-;2;2;-;-;-;4
352190 ITAJOBI;44;1;30;32;75;59;41;781;7;19;30;1119
352200 ITAJU;2;-;2;2;3;2;1;1;-;3;1;17
352210 ITANHAEM;54;-;2;1;1;4;6;14;3;9;2;96
352215 ITAOCA;-;-;-;-;-;-;-;-;-;1;-;1
352220 ITAPECERICA DA SERRA;2;-;-;-;-;-;-;1;-;-;2;5
352230 ITAPETININGA;58;-;1;1;-;1;1;5;-;1;4;72
352240 ITAPEVA;18;6;26;19;77;41;72;255;21;97;23;655
352250 ITAPEVI;15;-;3;1;5;3;1;10;-;3;1;42
352260 ITAPIRA;20;1;3;5;6;7;3;54;3;26;6;134
352265 ITAPIRAPUA PAULISTA;-;-;-;-;-;1;1;1;-;-;-;3
352270 ITAPOLIS;32;-;17;23;11;13;17;142;1;23;11;290
352280 ITAPORANGA;3;10;26;39;57;64;25;176;12;40;17;469
352290 ITAPUI;79;-;5;6;7;2;7;21;2;8;5;142
352300 ITAPURA;6;-;4;2;3;2;2;10;-;1;2;32
352310 ITAQUAQUECETUBA;82;-;7;5;17;11;10;45;3;6;7;193
352320 ITARARE;24;-;2;3;9;4;7;13;2;1;1;66
352340 ITATIBA;133;-;5;8;8;8;7;40;10;11;11;241
352350 ITATINGA;-;-;-;-;-;2;-;1;-;-;-;3
352360 ITIRAPINA;9;1;4;5;2;4;5;34;-;4;6;74
352370 ITIRAPUA;106;-;6;5;14;14;5;36;1;13;6;206
352380 ITOBI;2;-;-;-;2;5;-;4;1;1;-;15
352390 ITU;160;2;14;9;40;25;31;127;13;36;23;480
352400 ITUPEVA;59;-;9;1;5;2;3;24;1;2;3;109
352410 ITUVERAVA;478;-;-;-;-;-;-;-;-;1;48;527
352420 JABORANDI;56;-;3;3;3;3;6;12;3;4;3;96
352430 JABOTICABAL;401;3;8;4;19;21;21;59;7;31;31;605
352440 JACAREI;118;-;22;9;28;19;36;208;2;11;23;476
352450 JACI;33;4;22;4;27;23;35;75;7;21;3;254
352460 JACUPIRANGA;1;-;-;1;-;-;-;2;-;-;-;4
352470 JAGUARIUNA;67;-;15;9;37;22;42;147;21;56;11;427
352480 JALES;935;26;171;120;178;98;160;603;79;352;127;2849
352500 JANDIRA;1;-;-;-;-;-;-;-;-;-;-;1
352510 JARDINOPOLIS;18;-;-;1;1;1;-;3;-;3;3;30
352520 JARINU;67;-;-;-;3;1;4;6;-;4;4;89
352530 JAU;319;2;39;17;74;37;84;196;26;113;33;940
352540 JERIQUARA;3;-;6;3;10;2;3;12;2;1;-;42
352550 JOANOPOLIS;2;-;-;1;1;-;-;-;-;-;-;4
352560 JOAO RAMALHO;90;-;-;-;1;2;1;2;-;-;2;98
352570 JOSE BONIFACIO;1334;6;50;47;105;107;58;492;17;70;76;2362
352580 JULIO MESQUITA;64;-;-;-;-;-;-;3;-;-;-;67
352585 JUMIRIM;-;-;-;-;-;-;-;-;-;1;-;1
352590 JUNDIAI;791;-;2;-;2;3;16;8;-;2;35;859
352600 JUNQUEIROPOLIS;67;12;91;51;36;66;65;886;13;93;59;1439
352610 JUQUIA;-;-;-;-;-;1;-;-;-;-;-;1
352620 JUQUITIBA;157;-;-;-;3;1;-;6;-;5;10;182
352630 LAGOINHA;5;-;1;-;2;1;1;3;-;2;-;15
352640 LARANJAL PAULISTA;59;-;-;1;-;1;5;3;1;3;4;77
352650 LAVINIA;82;-;-;-;2;-;1;1;-;2;4;92
352660 LAVRINHAS;1;-;-;1;-;-;1;1;-;-;1;5
352670 LEME;10;1;7;3;10;9;2;20;3;14;4;83
352680 LENCOIS PAULISTA;41;-;11;3;6;9;5;48;4;14;1;142
352690 LIMEIRA;474;2;11;26;19;20;17;113;9;19;36;746
352700 LINDOIA;38;2;17;11;20;5;11;48;2;13;3;170
352710 LINS;1538;2;17;17;34;32;66;211;17;73;96;2103
352720 LORENA;6;-;-;-;1;-;2;2;-;2;4;17
352725 LOURDES;100;-;-;-;1;1;-;2;-;-;7;111
352730 LOUVEIRA;50;-;6;1;5;2;9;16;3;18;7;117
352740 LUCELIA;39;-;10;6;20;13;28;64;6;15;8;209
352750 LUCIANOPOLIS;-;-;9;4;5;6;4;20;1;-;-;49
352760 LUIS ANTONIO;421;2;11;8;20;12;33;83;8;21;21;640
352770 LUIZIANIA;19;15;71;13;33;15;57;93;5;32;28;381
352780 LUPERCIO;32;-;-;-;-;-;-;-;-;-;1;33
352790 LUTECIA;163;-;15;4;10;3;10;63;2;30;14;314
352800 MACATUBA;-;-;5;3;3;8;4;27;4;16;3;73
352810 MACAUBAL;10;-;-;1;9;1;11;31;4;8;3;78
352820 MACEDONIA;13;1;1;5;3;2;4;34;2;10;2;77
352830 MAGDA;40;-;12;-;11;16;15;14;2;7;5;122
352840 MAIRINQUE;2;1;1;-;-;-;-;-;-;1;-;5
352850 MAIRIPORA;6;-;-;2;1;3;4;12;1;3;1;33
352860 MANDURI;-;-;-;2;1;-;1;1;-;-;-;5
352870 MARABA PAULISTA;5;3;17;20;28;24;23;105;7;24;7;263
352880 MARACAI;11;-;-;-;-;1;2;4;-;-;2;20
352885 MARAPOAMA;-;-;5;2;7;8;2;16;1;2;1;44
352890 MARIAPOLIS;16;-;8;6;4;11;20;50;5;14;5;139
352900 MARILIA;442;8;55;39;85;82;65;322;25;176;54;1353
352910 MARINOPOLIS;122;-;1;-;6;-;4;36;6;14;11;200
352920 MARTINOPOLIS;213;15;140;61;135;85;186;458;20;57;60;1430
352930 MATAO;575;15;91;115;180;143;213;1040;52;142;76;2642
352940 MAUA;45;-;1;2;6;2;4;16;3;12;3;94
352950 MENDONCA;69;3;42;27;92;29;59;167;9;41;16;554
352960 MERIDIANO;10;1;16;4;17;5;12;37;2;11;2;117
352965 MESOPOLIS;-;-;2;2;10;15;3;26;-;2;-;60
352970 MIGUELOPOLIS;4;-;-;-;1;1;-;1;-;1;-;8
352980 MINEIROS DO TIETE;5;-;3;3;4;7;5;31;1;3;1;63
352990 MIRACATU;37;-;2;-;-;1;3;2;-;1;-;46
353000 MIRA ESTRELA;44;-;6;3;11;6;12;37;8;11;7;145
353010 MIRANDOPOLIS;373;-;23;16;26;15;21;97;7;31;44;653
353020 MIRANTE DO PARANAPANEMA;2;5;14;11;13;7;12;81;2;14;4;165
353030 MIRASSOL;505;1;10;3;10;6;9;41;4;11;33;633
353040 MIRASSOLANDIA;-;-;2;1;2;-;1;1;-;1;1;9
353050 MOCOCA;-;-;-;-;2;-;7;13;2;-;1;25
353060 MOGI DAS CRUZES;80;-;3;2;10;4;9;39;3;26;14;190
353070 MOGI GUACU;1398;2;23;35;99;119;100;149;13;22;93;2053
353080 MOGI MIRIM;93;1;2;4;13;32;5;138;8;99;36;431
353090 MOMBUCA;1;-;-;-;-;-;1;-;-;-;-;2
353100 MONCOES;42;1;36;19;28;11;11;68;2;15;12;245
353110 MONGAGUA;5;2;2;-;-;1;1;2;-;2;-;15
353120 MONTE ALEGRE DO SUL;2;-;1;-;-;-;-;-;-;1;-;4
353130 MONTE ALTO;1316;3;5;10;17;27;27;43;1;10;80;1539
353140 MONTE APRAZIVEL;66;-;28;29;35;37;60;149;12;47;12;475
353150 MONTE AZUL PAULISTA;303;-;2;1;4;5;12;32;1;11;12;383
353160 MONTE CASTELO;72;3;37;31;14;21;27;194;6;26;13;444
353170 MONTEIRO LOBATO;-;-;-;-;1;-;-;1;-;-;-;2
353180 MONTE MOR;3;-;-;1;-;-;-;1;-;1;-;6
353190 MORRO AGUDO;342;11;128;57;148;67;116;304;36;75;77;1361
353200 MORUNGABA;3;-;-;-;-;-;-;-;-;-;-;3
353205 MOTUCA;319;-;-;-;-;-;-;-;-;-;5;324
353210 MURUTINGA DO SUL;-;1;8;3;39;15;14;105;8;25;2;220
353215 NANTES;-;-;-;-;-;2;1;1;-;1;-;5
353220 NARANDIBA;3;-;4;21;4;15;7;15;-;2;7;78
353250 NEVES PAULISTA;200;-;12;7;16;10;10;62;4;15;11;347
353260 NHANDEARA;333;2;23;27;37;26;39;153;5;17;22;684
353270 NIPOA;5;2;21;22;37;36;37;98;3;15;12;288
353280 NOVA ALIANCA;44;3;44;30;96;37;70;173;17;41;16;571
353284 NOVA CANAA PAULISTA;2;-;-;3;11;8;5;7;5;7;1;49
353286 NOVA CASTILHO;191;-;-;-;-;-;-;-;-;1;12;204
353290 NOVA EUROPA;455;-;11;8;21;15;9;33;2;16;26;596
353300 NOVA GRANADA;193;13;116;53;126;49;110;278;21;55;43;1057
353310 NOVA GUATAPORANGA;1;-;6;8;8;14;9;23;1;8;4;82
353320 NOVA INDEPENDENCIA;140;10;34;21;53;47;67;189;23;34;37;655
353325 NOVAIS;21;-;5;1;3;-;1;3;1;2;2;39
353330 NOVA LUZITANIA;288;-;-;-;-;-;-;-;-;1;13;302
353340 NOVA ODESSA;218;-;2;5;3;2;1;18;1;5;18;273
353350 NOVO HORIZONTE;436;1;73;81;79;158;139;1025;10;73;85;2160
353360 NUPORANGA;111;-;-;-;4;-;6;6;-;4;13;144
353370 OCAUCU;3;-;-;-;-;-;-;2;1;-;-;6
353390 OLIMPIA;1240;3;40;22;54;43;59;152;11;39;60;1723
353400 ONDA VERDE;4;3;25;3;43;15;33;120;8;13;14;281
353410 ORIENTE;18;-;4;4;3;4;13;83;1;13;3;146
353420 ORINDIUVA;407;8;48;25;58;41;24;145;11;54;48;869
353430 ORLANDIA;515;-;1;-;5;5;5;11;1;8;22;573
353440 OSASCO;247;1;5;2;5;9;9;51;3;35;38;405
353450 OSCAR BRESSANE;5;3;10;12;16;16;5;78;6;20;5;176
353460 OSVALDO CRUZ;8;7;81;33;78;95;105;345;18;42;37;849
353470 OURINHOS;828;4;72;49;78;70;108;308;32;99;67;1715
353475 OUROESTE;3;-;3;5;5;3;4;11;-;7;1;42
353480 OURO VERDE;-;1;23;100;63;123;27;141;3;21;14;516
353490 PACAEMBU;167;3;31;28;23;19;22;115;2;22;16;448
353500 PALESTINA;46;1;85;56;116;60;126;322;14;85;22;933
353510 PALMARES PAULISTA;88;8;23;9;25;13;20;58;3;21;5;273
353520 PALMEIRA D'OESTE;52;20;104;50;102;87;73;315;28;82;24;937
353530 PALMITAL;4;-;3;1;4;-;4;11;1;4;2;34
353540 PANORAMA;40;-;4;2;12;12;9;57;-;7;7;150
353550 PARAGUACU PAULISTA;343;10;91;88;263;176;270;720;75;190;141;2367
353560 PARAIBUNA;14;-;-;-;-;-;-;1;-;2;-;17
353570 PARAISO;1;1;9;7;11;3;7;38;6;22;5;110
353580 PARANAPANEMA;1;-;-;-;-;-;-;-;-;-;-;1
353590 PARANAPUA;172;1;37;9;40;13;28;79;9;40;18;446
353600 PARAPUA;3;1;9;3;14;10;32;49;5;13;9;148
353610 PARDINHO;-;-;-;-;-;2;-;-;-;-;-;2
353620 PARIQUERA-ACU;1;1;-;1;-;1;-;4;-;3;-;11
353625 PARISI;-;1;7;3;7;4;11;22;-;2;2;59
353630 PATROCINIO PAULISTA;1607;-;-;1;1;2;3;1;-;2;148;1765
353640 PAULICEIA;3;9;50;30;102;51;87;256;15;56;25;684
353650 PAULINIA;3927;10;53;28;64;43;67;250;33;64;253;4792
353657 PAULISTANIA;2;-;1;1;1;2;1;6;-;1;-;15
353660 PAULO DE FARIA;62;1;21;11;29;6;40;89;14;39;18;330
353670 PEDERNEIRAS;3;1;2;3;-;3;3;13;1;3;3;35
353680 PEDRA BELA;-;-;-;-;-;-;-;1;-;-;-;1
353690 PEDRANOPOLIS;31;-;13;4;6;1;5;10;2;1;2;75
353700 PEDREGULHO;111;-;-;-;1;-;-;-;1;-;4;117
353710 PEDREIRA;180;2;6;8;5;8;13;41;3;11;4;281
353715 PEDRINHAS PAULISTA;15;-;-;-;-;-;-;-;-;3;-;18
353730 PENAPOLIS;1134;13;106;69;231;336;457;539;33;154;209;3281
353740 PEREIRA BARRETO;30;-;7;12;23;13;24;64;9;24;12;218
353750 PEREIRAS;17;-;-;1;-;-;1;5;1;-;-;25
353760 PERUIBE;38;-;-;-;3;1;1;8;2;3;-;56
353770 PIACATU;139;9;72;30;74;26;47;225;26;79;44;771
353780 PIEDADE;1;-;1;-;-;-;-;1;-;1;-;4
353790 PILAR DO SUL;-;-;-;-;-;-;-;1;-;1;-;2
353800 PINDAMONHANGABA;244;1;13;9;8;19;14;126;4;21;44;503
353810 PINDORAMA;90;1;21;18;27;21;23;114;9;26;14;364
353820 PINHALZINHO;2;-;1;4;1;1;1;3;-;3;-;16
353830 PIQUEROBI;58;-;-;-;-;-;-;-;-;-;2;60
353850 PIQUETE;9;-;-;-;-;-;-;1;-;-;-;10
353860 PIRACAIA;-;-;-;-;1;-;-;-;-;2;-;3
353870 PIRACICABA;956;7;43;22;46;16;40;192;10;62;119;1513
353880 PIRAJU;-;-;-;-;2;3;2;11;-;2;1;21
353890 PIRAJUI;20;-;7;6;11;2;6;18;-;6;2;78
353900 PIRANGI;53;1;19;18;15;12;21;53;3;25;4;224
353910 PIRAPORA DO BOM JESUS;3;-;-;-;-;-;-;-;-;-;-;3
353920 PIRAPOZINHO;9;2;24;14;20;29;28;159;14;35;14;348
353930 PIRASSUNUNGA;32;-;4;-;1;2;6;12;4;8;6;75
353940 PIRATININGA;64;-;-;-;1;1;-;4;1;1;1;73
353950 PITANGUEIRAS;336;2;26;12;37;43;44;208;4;25;59;796
353960 PLANALTO;8;-;30;56;66;39;49;139;2;45;21;455
353970 PLATINA;60;-;1;-;4;4;10;16;1;6;11;113
353980 POA;11;1;-;1;-;-;-;2;-;-;1;16
353990 POLONI;10;3;44;40;28;31;20;161;1;28;14;380
354000 POMPEIA;28;1;5;5;3;4;9;62;2;5;9;133
354010 PONGAI;-;-;4;2;2;-;2;6;-;4;1;21
354020 PONTAL;162;-;6;8;8;8;10;36;2;7;17;264
354025 PONTALINDA;88;2;11;11;9;19;26;69;1;8;18;262
354030 PONTES GESTAL;80;-;1;-;3;5;-;3;-;1;5;98
354040 POPULINA;13;5;25;20;22;6;19;63;8;28;6;215
354050 PORANGABA;1;-;1;-;-;1;-;1;-;2;-;6
354060 PORTO FELIZ;239;8;82;43;134;62;153;515;33;113;50;1432
354070 PORTO FERREIRA;3;-;2;4;10;4;14;60;1;14;5;117
354075 POTIM;2;-;2;2;3;3;8;23;1;-;1;45
354080 POTIRENDABA;81;1;15;14;12;11;21;61;3;11;6;236
354085 PRACINHA;2;2;2;1;1;1;3;4;-;1;-;17
354090 PRADOPOLIS;23;-;1;3;5;5;6;38;2;8;2;93
354100 PRAIA GRANDE;13;-;2;-;2;-;3;5;-;2;4;31
354120 PRESIDENTE BERNARDES;64;-;-;-;1;1;2;63;2;11;7;151
354130 PRESIDENTE EPITACIO;109;1;15;9;28;22;33;100;7;20;14;358
354140 PRESIDENTE PRUDENTE;1702;28;298;172;671;369;827;2547;393;1269;359;8635
354150 PRESIDENTE VENCESLAU;600;4;29;16;52;18;26;125;6;27;32;935
354160 PROMISSAO;105;2;2;3;4;1;-;9;-;6;6;138
354165 QUADRA;1;-;-;-;-;-;-;-;-;-;-;1
354170 QUATA;163;8;39;17;44;22;51;165;14;41;27;591
354180 QUEIROZ;478;1;1;-;-;1;1;6;1;1;57;547
354190 QUELUZ;48;-;-;-;1;3;4;5;-;3;3;67
354200 QUINTANA;11;13;61;43;26;29;32;236;4;29;24;508
354210 RAFARD;-;-;1;2;1;5;2;17;-;-;-;28
354220 RANCHARIA;6;2;12;9;22;30;30;127;9;14;13;274
354230 REDENCAO DA SERRA;1;-;-;-;-;-;-;-;-;-;-;1
354240 REGENTE FEIJO;28;21;67;31;107;51;83;331;20;86;29;854
354250 REGINOPOLIS;9;-;6;2;7;6;17;20;2;9;4;82
354260 REGISTRO;2;-;-;-;-;1;-;1;-;-;-;4
354270 RESTINGA;48;-;-;-;-;-;-;-;-;-;1;49
354280 RIBEIRA;-;-;-;1;1;-;-;2;-;-;-;4
354290 RIBEIRAO BONITO;489;-;3;1;4;1;6;16;2;5;13;540
354300 RIBEIRAO BRANCO;-;-;-;-;1;-;-;1;-;-;-;2
354310 RIBEIRAO CORRENTE;90;-;-;-;-;-;-;4;-;1;4;99
354320 RIBEIRAO DO SUL;16;-;2;-;2;2;2;3;2;4;1;34
354323 RIBEIRAO DOS INDIOS;-;1;3;-;6;2;3;11;-;-;-;26
354325 RIBEIRAO GRANDE;-;-;-;-;-;-;-;-;2;-;-;2
354330 RIBEIRAO PIRES;12;-;-;-;1;2;1;19;2;4;2;43
354340 RIBEIRAO PRETO;4997;7;125;81;274;153;359;1105;148;522;709;8480
354350 RIVERSUL;-;-;1;-;-;-;1;-;-;-;-;2
354360 RIFAINA;9;-;-;-;-;-;-;-;-;-;-;9
354370 RINCAO;97;5;8;8;21;31;34;154;6;28;25;417
354380 RINOPOLIS;45;10;78;40;82;70;58;187;24;97;47;738
354390 RIO CLARO;312;-;10;1;8;6;11;49;4;12;12;425
354400 RIO DAS PEDRAS;2;-;-;1;-;2;-;4;-;-;-;9
354410 RIO GRANDE DA SERRA;-;-;-;-;-;-;-;1;-;-;-;1
354420 RIOLANDIA;2;10;47;19;71;38;60;119;5;33;33;437
354425 ROSANA;121;15;66;46;86;41;72;191;21;74;33;766
354430 ROSEIRA;26;-;2;-;2;-;-;1;2;1;-;34
354440 RUBIACEA;8;2;12;3;12;11;4;40;3;11;7;113
354450 RUBINEIA;27;1;9;6;8;12;7;14;3;6;2;95
354460 SABINO;5;-;-;-;-;-;-;-;-;-;1;6
354470 SAGRES;14;-;-;-;1;-;-;7;-;-;1;23
354480 SALES;12;-;2;-;3;-;3;10;-;3;1;34
354490 SALES OLIVEIRA;16;-;1;1;4;2;2;11;-;8;5;50
354510 SALMOURAO;12;2;6;6;6;8;11;38;-;8;2;99
354515 SALTINHO;11;-;5;4;13;7;10;24;4;10;5;93
354520 SALTO;414;1;11;5;6;13;8;79;6;16;22;581
354530 SALTO DE PIRAPORA;2;-;-;-;1;-;-;-;-;-;1;4
354540 SALTO GRANDE;62;-;5;1;8;3;13;31;-;8;4;135
354550 SANDOVALINA;6;-;1;-;5;4;8;29;1;5;1;60
354560 SANTA ADELIA;25;4;28;24;19;17;32;89;6;37;7;288
354570 SANTA ALBERTINA;547;-;9;4;3;-;9;7;-;15;26;620
354580 SANTA BARBARA D'OESTE;3376;7;91;58;136;106;137;539;36;123;363;4972
354600 SANTA BRANCA;-;-;-;-;1;-;-;3;1;2;-;7
354610 SANTA CLARA D'OESTE;86;-;4;6;9;3;10;33;2;10;3;166
354620 SANTA CRUZ DA CONCEICAO;6;-;-;-;-;-;-;4;-;-;-;10
354625 SANTA CRUZ DA ESPERANCA;19;-;-;-;-;-;-;-;-;-;-;19
354630 SANTA CRUZ DAS PALMEIRAS;1;-;13;8;9;16;5;39;3;15;3;112
354640 SANTA CRUZ DO RIO PARDO;844;5;93;57;185;115;139;439;45;142;69;2133
354650 SANTA ERNESTINA;131;-;-;-;-;-;-;1;-;-;2;134
354660 SANTA FE DO SUL;236;6;47;37;70;50;75;324;24;111;61;1041
354670 SANTA GERTRUDES;311;-;-;-;-;-;-;1;1;-;11;324
354680 SANTA ISABEL;23;-;-;-;5;-;3;6;-;1;1;39
354690 SANTA LUCIA;307;9;10;17;20;34;34;154;1;22;32;640
354700 SANTA MARIA DA SERRA;6;1;1;1;-;-;1;3;1;-;-;14
354710 SANTA MERCEDES;478;-;6;1;4;-;4;41;2;9;33;578
354720 SANTANA DA PONTE PENSA;1;2;25;7;12;7;12;44;2;18;3;133
354730 SANTANA DE PARNAIBA;8;1;14;3;14;17;13;37;5;3;13;128
354740 SANTA RITA D'OESTE;2;7;37;14;25;12;16;71;5;20;11;220
354750 SANTA RITA DO PASSA QUATRO;665;-;2;-;6;4;6;46;-;7;14;750
354760 SANTA ROSA DE VITERBO;110;3;12;12;31;15;20;151;9;61;20;444
354765 SANTA SALETE;18;1;43;59;42;55;47;106;11;34;32;448
354770 SANTO ANASTACIO;8;1;10;12;7;7;13;47;2;18;5;130
354780 SANTO ANDRE;101;-;5;5;1;1;5;18;2;15;15;168
354790 SANTO ANTONIO DA ALEGRIA;26;-;-;-;-;-;-;-;-;2;2;30
354800 SANTO ANTONIO DE POSSE;115;-;2;1;92;1;1;3;1;-;9;225
354805 SANTO ANTONIO DO ARACANGUA;2;1;18;29;60;75;35;85;3;26;17;351
354810 SANTO ANTONIO DO JARDIM;1;-;-;-;-;-;-;1;-;-;1;3
354820 SANTO ANTONIO DO PINHAL;-;-;-;-;-;-;1;-;-;-;-;1
354830 SANTO EXPEDITO;3;-;8;14;19;39;12;99;1;12;8;215
354840 SANTOPOLIS DO AGUAPEI;9;-;1;2;20;69;9;45;2;8;7;172
354850 SANTOS;340;-;23;11;42;21;24;141;11;43;262;918
354870 SAO BERNARDO DO CAMPO;196;-;7;2;4;9;6;88;1;20;9;342
354880 SAO CAETANO DO SUL;94;-;1;2;-;4;2;22;7;55;10;197
354890 SAO CARLOS;2234;7;64;54;98;108;165;687;96;331;238;4082
354900 SAO FRANCISCO;80;8;59;11;43;13;24;74;12;41;10;375
354910 SAO JOAO DA BOA VISTA;29;-;5;1;6;10;6;16;3;9;2;87
354920 SAO JOAO DAS DUAS PONTES;-;1;5;6;7;6;6;14;4;5;2;56
354925 SAO JOAO DE IRACEMA;14;-;17;11;27;8;21;74;4;36;15;227
354930 SAO JOAO DO PAU D'ALHO;173;-;3;-;1;-;-;6;1;2;4;190
354940 SAO JOAQUIM DA BARRA;20;-;2;-;1;1;2;6;-;4;2;38
354950 SAO JOSE DA BELA VISTA;-;-;-;-;-;-;-;3;-;1;-;4
354970 SAO JOSE DO RIO PARDO;22;-;11;30;23;85;28;175;9;31;20;434
354980 SAO JOSE DO RIO PRETO;6357;70;846;477;1721;837;1726;6401;1015;3881;1736;25067
354990 SAO JOSE DOS CAMPOS;1385;3;15;19;45;28;58;207;29;115;187;2091
354995 SAO LOURENCO DA SERRA;1;-;-;-;-;-;1;-;-;-;-;2
355000 SAO LUIS DO PARAITINGA;1;-;-;1;-;-;-;-;-;2;1;5
355010 SAO MANUEL;38;1;2;1;9;6;5;12;1;9;2;86
355020 SAO MIGUEL ARCANJO;2;-;-;-;-;-;-;1;-;-;1;4
355030 SAO PAULO;6026;38;323;219;674;463;835;2684;376;1114;530;13282
355040 SAO PEDRO;84;1;15;7;24;11;13;65;4;16;9;249
355050 SAO PEDRO DO TURVO;130;-;1;3;2;-;3;11;-;10;17;177
355060 SAO ROQUE;12;-;1;-;4;1;-;17;2;5;2;44
355070 SAO SEBASTIAO;217;4;32;31;113;50;118;332;32;91;59;1079
355080 SAO SEBASTIAO DA GRAMA;-;-;2;-;-;-;-;1;-;1;-;4
355090 SAO SIMAO;15;-;-;1;4;2;1;5;1;7;-;36
355100 SAO VICENTE;19;-;1;-;1;-;-;2;-;-;1;24
355120 SARUTAIA;1;-;-;2;3;3;4;46;2;3;4;68
355130 SEBASTIANOPOLIS DO SUL;129;1;1;-;-;-;-;-;-;-;-;131
355140 SERRA AZUL;126;-;1;-;2;-;1;3;-;1;5;139
355150 SERRANA;219;-;-;-;3;3;1;4;-;-;13;243
355160 SERRA NEGRA;5;-;-;-;2;-;4;-;-;2;3;16
355170 SERTAOZINHO;2886;-;16;17;27;14;10;81;21;70;329;3471
355190 SEVERINIA;15;3;17;48;77;35;41;36;4;10;6;292
355200 SILVEIRAS;-;-;-;-;-;-;-;1;-;-;-;1
355210 SOCORRO;12;-;2;2;5;3;3;17;3;4;1;52
355220 SOROCABA;1077;4;19;13;44;18;37;201;19;48;56;1536
355230 SUD MENNUCCI;65;-;9;4;16;3;7;36;4;7;5;156
355240 SUMARE;788;1;2;6;24;15;24;94;5;11;61;1031
355250 SUZANO;245;-;5;2;17;6;20;133;5;12;7;452
355255 SUZANAPOLIS;126;-;11;12;22;18;46;94;10;23;7;369
355260 TABAPUA;25;3;29;15;18;10;17;53;5;16;4;195
355270 TABATINGA;32;1;4;3;10;11;6;18;3;10;4;102
355280 TABOAO DA SERRA;28;-;-;1;1;1;-;9;1;3;3;47
355290 TACIBA;87;-;-;-;1;2;2;12;1;6;2;113
355300 TAGUAI;1;-;-;-;-;-;-;1;-;1;-;3
355310 TAIACU;5;-;1;1;1;4;1;9;1;1;-;24
355320 TAIUVA;34;-;2;-;2;1;-;6;1;4;3;53
355330 TAMBAU;-;-;3;1;-;2;-;14;2;1;2;25
355340 TANABI;208;22;133;70;184;86;128;456;33;94;70;1484
355350 TAPIRAI;2;-;-;-;-;-;1;-;-;-;-;3
355365 TAQUARAL;42;2;19;15;18;24;13;44;1;20;7;205
355370 TAQUARITINGA;30;2;25;20;32;16;32;283;6;40;19;505
355380 TAQUARITUBA;-;-;1;-;-;1;-;4;1;3;-;10
355385 TAQUARIVAI;3;-;-;-;1;-;-;2;-;1;-;7
355390 TARABAI;15;1;12;4;16;9;34;83;8;10;9;201
355395 TARUMA;470;4;25;20;28;17;41;76;10;19;21;731
355400 TATUI;15;-;2;-;-;-;1;4;1;3;-;26
355410 TAUBATE;406;2;55;29;87;64;101;487;69;201;67;1568
355430 TEODORO SAMPAIO;1198;41;166;90;299;158;252;867;80;233;206;3590
355440 TERRA ROXA;141;-;-;1;1;-;2;4;-;2;3;154
355450 TIETE;49;2;22;10;27;14;26;80;11;24;19;284
355460 TIMBURI;1;-;-;-;-;-;-;-;-;-;-;1
355470 TORRINHA;3;-;-;-;4;1;-;2;-;2;-;12
355475 TRABIJU;16;-;-;-;-;-;-;-;-;1;2;19
355480 TREMEMBE;73;-;6;3;8;12;11;44;2;17;6;182
355490 TRES FRONTEIRAS;255;-;2;2;1;8;3;13;1;4;5;294
355500 TUPA;465;12;153;180;304;209;246;1089;59;212;209;3138
355510 TUPI PAULISTA;1006;30;7;4;10;30;17;70;7;43;62;1286
355520 TURIUBA;7;2;3;1;6;1;8;8;4;2;-;42
355530 TURMALINA;3;-;34;6;7;1;3;29;1;15;4;103
355535 UBARANA;492;-;-;1;2;2;4;8;-;2;27;538
355540 UBATUBA;172;-;1;2;2;1;1;5;2;3;10;199
355550 UBIRAJARA;4;1;-;-;1;2;-;3;-;2;-;13
355560 UCHOA;3;-;14;15;31;19;31;107;14;28;8;270
355570 UNIAO PAULISTA;-;1;2;3;13;5;6;13;3;3;1;50
355580 URANIA;278;33;202;56;197;50;114;473;57;163;64;1687
355590 URU;-;-;-;-;1;-;-;1;1;-;-;3
355600 URUPES;2;-;10;3;4;6;13;28;-;7;2;75
355610 VALENTIM GENTIL;88;-;16;12;30;7;16;63;8;9;16;265
355620 VALINHOS;642;-;18;18;32;35;54;287;23;71;37;1217
355630 VALPARAISO;55;-;14;9;20;22;21;87;4;21;19;272
355640 VARGEM GRANDE DO SUL;4;-;-;-;-;-;-;2;-;1;-;7
355645 VARGEM GRANDE PAULISTA;-;-;-;-;1;-;2;2;1;-;2;8
355650 VARZEA PAULISTA;660;-;2;2;7;1;4;7;1;4;40;728
355660 VERA CRUZ;919;1;-;1;3;3;4;25;-;3;37;996
355670 VINHEDO;39;-;6;4;21;10;17;48;9;23;11;188
355680 VIRADOURO;8;-;20;8;10;6;24;195;1;5;10;287
355690 VISTA ALEGRE DO ALTO;3;-;10;13;11;14;20;34;5;23;8;141
355695 VITORIA BRASIL;1;-;8;-;17;7;3;36;3;7;1;83
355700 VOTORANTIM;143;1;13;10;28;18;28;97;10;21;16;385
355710 VOTUPORANGA;355;10;352;386;709;759;1129;5401;161;661;563;10486
